id,whichExpt.First,E1anchor,E2anchor,EXPERIMENTER
1,1,1,2,F
2,1,2,1,F
3,1,1,1,F
4,1,2,2,F
5,2,1,2,F
6,2,2,1,F
7,2,1,1,F
8,2,2,2,F
9,1,1,2,F
10,1,2,1,F
11,1,1,1,F
12,1,2,2,F
13,2,1,2,F
14,2,2,1,F
15,2,1,1,F
16,2,2,2,F
17,1,1,2,F
18,1,2,1,F
19,1,1,1,F
20,1,2,2,F
21,2,1,2,F
22,2,2,1,F
23,2,1,1,F
24,2,2,2,F
25,1,1,2,F
26,1,2,1,F
27,1,1,1,F
28,1,2,2,F
29,2,1,2,F
30,2,2,1,F
31,2,1,1,F
32,2,2,2,F
33,1,1,2,F
34,1,2,1,F
35,1,1,1,F
36,1,2,2,F
37,2,1,2,F
38,2,2,1,F
39,2,1,1,F
40,2,2,2,F
41,1,1,2,F
42,1,2,1,F
43,1,1,1,F
44,1,2,2,F
45,2,1,2,F
46,2,2,1,F
47,2,1,1,F
48,2,2,2,F
49,1,1,2,F
50,1,2,1,F
51,1,1,1,F
52,1,2,2,F
53,2,1,2,F
54,2,2,1,F
55,2,1,1,F
56,2,2,2,F
57,1,1,2,F
58,1,2,1,F
59,1,1,1,F
60,1,2,2,F
61,2,1,2,F
62,2,2,1,F
63,2,1,1,F
64,2,2,2,F
65,1,1,2,S
66,1,2,1,S
67,1,1,1,S
68,1,2,2,S
69,2,1,2,S
70,2,2,1,S
71,2,1,1,S
72,2,2,2,S
73,1,1,2,S
74,1,2,1,S
75,1,1,1,S
76,1,2,2,S
77,2,1,2,S
78,2,2,1,S
79,2,1,1,S
80,2,2,2,S
81,1,1,2,S
82,1,2,1,S
83,1,1,1,S
84,1,2,2,S
85,2,1,2,S
86,2,2,1,S
87,2,1,1,S
88,2,2,2,S
89,1,1,2,S
90,1,2,1,S
91,1,1,1,S
92,1,2,2,S
93,2,1,2,S
94,2,2,1,S
95,2,1,1,S
96,2,2,2,S
97,1,1,2,S
98,1,2,1,S
99,1,1,1,S
100,1,2,2,S
101,2,1,2,S
102,2,2,1,S
103,2,1,1,S
104,2,2,2,S
105,1,1,2,S
106,1,2,1,S
107,1,1,1,S
108,1,2,2,S
109,2,1,2,S
110,2,2,1,S
111,2,1,1,S
112,2,2,2,S
113,1,1,2,S
114,1,2,1,S
115,1,1,1,S
116,1,2,2,S
117,2,1,2,S
118,2,2,1,S
119,2,1,1,S
120,2,2,2,S
121,1,1,2,S
122,1,2,1,S
123,1,1,1,S
124,1,2,2,S
125,2,1,2,S
126,2,2,1,S
127,2,1,1,S
128,2,2,2,S
